ロボット		00:00:04.284	4.284	4284	00:00:05.164	5.164	5164	00:00:00.880	0.88	880	分かりました。
ロボット		00:00:10.931	10.931	10931	00:00:14.024	14.024	14024	00:00:03.093	3.093	3093	(F あ)もうポットにお水が入ってませんね<H>。
ロボット		00:00:16.164	16.164	16164	00:00:16.504	16.504	16504	00:00:00.340	0.34	340	(R はい)
ロボット		00:00:40.441	40.441	40441	00:00:41.512	41.512	41512	00:00:01.071	1.071	1071	入れてきました。
ロボット		00:00:44.970	44.97	44970	00:00:47.206	47.206	47206	00:00:02.236	2.236	2236	お菓子って何がありましたっけ<H>？
ロボット		00:00:50.174	50.174	50174	00:00:52.195	52.195	52195	00:00:02.021	2.021	2021	(R はい)(P)探してきますね<H>。
ロボット		00:01:04.733	64.733	64733	00:01:05.595	65.595	65595	00:00:00.862	0.862	862	ありました。
ロボット		00:01:10.416	70.416	70416	00:01:11.099	71.099	71099	00:00:00.683	0.683	683	どうぞ。
ロボット		00:01:21.399	81.399	81399	00:01:24.181	84.181	84181	00:00:02.782	2.782	2782	お手拭きはウェットティッシュで良いですか<H>？
ロボット		00:01:28.674	88.674	88674	00:01:30.043	90.043	90043	00:00:01.369	1.369	1369	ミルクは入れますか？
ロボット		00:01:32.581	92.581	92581	00:01:33.637	93.637	93637	00:00:01.056	1.056	1056	かしこまりました。
主人		00:00:01.935	1.935	1935	00:00:03.906	3.906	3906	00:00:01.971	1.971	1971	(F あー)コーヒーが飲みたいな<H>。
主人		00:00:14.329	14.329	14329	00:00:15.584	15.584	15584	00:00:01.255	1.255	1255	じゃあ、入れてきてくれる？
主人		00:00:41.789	41.789	41789	00:00:44.585	44.585	44585	00:00:02.796	2.796	2796	ありがとう。ついでにお菓子も持ってきてくれるかな。
主人		00:00:47.346	47.346	47346	00:00:50.208	50.208	50208	00:00:02.862	2.862	2862	(F うーん)確か<H>、ポテトチップスがあったはず。
主人		00:01:06.831	66.831	66831	00:01:08.749	68.749	68749	00:00:01.918	1.918	1918	(F あ)(P)ありがとう。
主人		00:01:09.291	69.291	69291	00:01:11.099	71.099	71099	00:00:01.808	1.808	1808	(F あの)お手拭きも<H>くれる？
主人		00:01:11.279	71.279	71279	00:01:12.006	72.006	72006	00:00:00.727	0.727	727	ありがとう。
主人		00:01:13.291	73.291	73291	00:01:14.579	74.579	74579	00:00:01.288	1.288	1288	お手拭きあるかな<H>？
主人		00:01:23.924	83.924	83924	00:01:24.956	84.956	84956	00:00:01.032	1.032	1032	(R うん)大丈夫。
主人		00:01:26.062	86.062	86062	00:01:27.916	87.916	87916	00:00:01.854	1.854	1854	コーヒーは私がいれるね<H>。
主人		00:01:30.431	90.431	90431	00:01:32.208	92.208	92208	00:00:01.777	1.777	1777	(F あ)今日はブラックにしようかな。
