ロボット		00:00:18.211	18.211	00:00:19.084	19.084	00:00:00.873	0.873	分かりました。
ロボット		00:00:19.314	19.314	00:00:21.196	21.196	00:00:01.882	1.882	どの紙を使ったら良いですか？
ロボット		00:00:30.615	30.615	00:00:31.354	31.354	00:00:00.739	0.739	分かりました。
ロボット		00:00:46.280	46.28	00:00:48.334	48.334	00:00:02.054	2.054	このくらいでよろしいですか？
ロボット		00:00:57.004	57.004	00:00:58.061	58.061	00:00:01.057	1.057	じゃあ、お持ちしました。
ロボット		00:01:04.414	64.414	00:01:05.368	65.368	00:00:00.954	0.954	分かりました<H>。
ロボット		00:01:12.846	72.846	00:01:15.004	75.004	00:00:02.158	2.158	ついでに、そちらも包みましょうか？
ロボット		00:01:21.767	81.767	00:01:22.560	82.56	00:00:00.793	0.793	分かりました。
ロボット		00:01:23.374	83.374	00:01:25.367	85.367	00:00:01.993	1.993	テープってどこにありましたっけ？
ロボット		00:01:31.441	91.441	00:01:32.215	92.215	00:00:00.774	0.774	分かりました。
ロボット		00:01:39.596	99.596	00:01:41.013	101.013	00:00:01.417	1.417	こちらでよろしいですか？
ロボット		00:01:50.606	110.606	00:01:51.389	111.389	00:00:00.783	0.783	分かりました。
ロボット		00:01:58.553	118.553	00:02:00.953	120.953	00:00:02.400	2.4	こちら玄関先に置いておきますね。
ロボット		00:02:07.019	127.019	00:02:07.993	127.993	00:00:00.974	0.974	かしこまりました<H>。
主人		00:00:06.792	6.792	00:00:08.946	8.946	00:00:02.154	2.154	人形を梱包したいんだけど<H>、
主人		00:00:10.413	10.413	00:00:11.006	11.006	00:00:00.593	0.593	{||梱包}
主人		00:00:11.389	11.389	00:00:17.303	17.303	00:00:05.914	5.914	梱包に必要な緩衝材が必要だから<H>、紙をシュレッダーにかけて作ってくれないかしら？
主人		00:00:22.492	22.492	00:00:25.296	25.296	00:00:02.804	2.804	そこにある雑誌から適当に使ってちょうだい。
主人		00:00:25.857	25.857	00:00:29.726	29.726	00:00:03.869	3.869	量は<H>あそこの段ボール一杯分ぐらい欲しいわね<H>。
主人		00:00:48.782	48.782	00:00:49.909	49.909	00:00:01.127	1.127	(R うん)大丈夫よ<H>。
主人		00:00:58.307	58.307	00:00:58.976	58.976	00:00:00.669	0.669	ありがとう。
主人		00:01:00.031	60.031	00:01:00.693	60.693	00:00:00.662	0.662	あと<H>、
主人		00:01:01.387	61.387	00:01:03.733	63.733	00:00:02.346	2.346	そこにあるプチプチも持ってきてちょうだい。
主人		00:01:15.269	75.269	00:01:15.865	75.865	00:00:00.596	0.596	(R うんうん)
主人		00:01:16.219	76.219	00:01:18.850	78.85	00:00:02.631	2.631	これは壊れ物だから自分で包むわね。
主人		00:01:19.359	79.359	00:01:21.236	81.236	00:00:01.877	1.877	あとはテープを持ってきてちょうだい。
主人		00:01:26.205	86.205	00:01:30.134	90.134	00:00:03.929	3.929	確か<H>、(P)この右の戸棚にあったと思うわね<H>。
主人		00:01:41.273	101.273	00:01:41.980	101.98	00:00:00.707	0.707	ありがとう。
主人		00:01:43.887	103.887	00:01:49.946	109.946	00:00:06.059	6.059	もう箱は梱包したから、あとはテープで蓋をして、玄関先まで持って行って欲しいの。
主人		00:02:02.093	122.093	00:02:02.571	122.571	00:00:00.478	0.478	そうね。
主人		00:02:03.961	123.961	00:02:04.803	124.803	00:00:00.842	0.842	あとはお願い。
