主人		00:00:10.180	10.18	10180	00:00:15.315	15.315	15315	00:00:05.135	5.135	5135	これはもう空になったみたいだから<H>、コーヒーを半分だけ入れてもらえる？
主人		00:00:27.322	27.322	27322	00:00:29.202	29.202	29202	00:00:01.880	1.88	1880	(R うん)温かいのでいいわよ。
主人		00:00:31.539	31.539	31539	00:00:34.599	34.599	34599	00:00:03.060	3.06	3060	(F あ)あと、ついでに牛乳も持ってきてちょうだい。
主人		00:00:39.198	39.198	39198	00:00:44.178	44.178	44178	00:00:04.980	4.98	4980	(R うんうん)こっちは{||冷たい}冷たくて大丈夫よ。一杯だけお願い。
主人		00:02:04.952	124.952	124952	00:02:07.885	127.885	127885	00:00:02.933	2.933	2933	ありがとう。とりあえず牛乳だけ貰うね。
主人		00:02:15.507	135.507	135507	00:02:18.394	138.394	138394	00:00:02.887	2.887	2887	(R うん)(P)それはここに注いでちょうだい。
主人		00:02:31.439	151.439	151439	00:02:32.845	152.845	152845	00:00:01.406	1.406	1406	(R うん)ありがとう。
ロボット		00:00:17.052	17.052	17052	00:00:17.932	17.932	17932	00:00:00.880	0.88	880	分かりました<H>。
ロボット		00:00:19.795	19.795	19795	00:00:20.849	20.849	20849	00:00:01.054	1.054	1054	行きますね。
ロボット		00:00:25.492	25.492	25492	00:00:27.052	27.052	27052	00:00:01.560	1.56	1560	温かいのでいいですか？
ロボット		00:00:34.979	34.979	34979	00:00:38.852	38.852	38852	00:00:03.873	3.873	3873	牛乳ですね。かしこまりました。こちらも温めますか？
ロボット		00:00:44.778	44.778	44778	00:00:45.605	45.605	45605	00:00:00.827	0.827	827	分かりました。
ロボット		00:00:48.841	48.841	48841	00:00:50.348	50.348	50348	00:00:01.507	1.507	1507	では、お持ちしますね。
ロボット		00:02:03.192	123.192	123192	00:02:04.599	124.599	124599	00:00:01.407	1.407	1407	お持ちしました。
ロボット		00:02:08.421	128.421	128421	00:02:09.408	129.408	129408	00:00:00.987	0.987	987	分かりました。
ロボット		00:02:11.344	131.344	131344	00:02:15.346	135.346	135346	00:00:04.002	4.002	4002	コーヒーはすぐに{||お飲みになりま}お飲みになられますか？
ロボット		00:02:18.779	138.779	138779	00:02:19.699	139.699	139699	00:00:00.920	0.92	920	分かりました。
ロボット		00:02:28.666	148.666	148666	00:02:31.165	151.165	151165	00:00:02.499	2.499	2499	これ<H>{は||}こちらに置いておきますね<H>。
