主人		00:00:02.407	2.407	2407	00:00:05.599	5.599	5599	00:00:03.192	3.192	3192	テーブルの上を片付けたいんだけど<H>、手伝ってくれる？
主人		00:00:08.549	8.549	8549	00:00:14.408	14.408	14408	00:00:05.859	5.859	5859	コップはこっちで片付けるから<H>、それ以外のものは全部別のテーブルに持っていってちょうだい。
主人		00:00:18.174	18.174	18174	00:00:25.083	25.083	25083	00:00:06.909	6.909	6909	(F あ)そうそう。真ん中にある電気ケトルと花瓶はそのままでいいわよ。(P)落とすと危ないしね。
主人		00:00:29.433	29.433	29433	00:00:34.766	34.766	34766	00:00:05.333	5.333	5333	あと、(P)ポテトチップス{||の箱}はその箱の中に入れてちょうだい。
主人		00:00:44.233	44.233	44233	00:00:45.337	45.337	45337	00:00:01.104	1.104	1104	うん、大丈夫よ。
主人		00:00:46.948	46.948	46948	00:00:48.991	48.991	48991	00:00:02.043	2.043	2043	そのまま入れて一緒に持って行ってちょうだい。
主人		00:01:10.205	70.205	70205	00:01:12.648	72.648	72648	00:00:02.443	2.443	2443	あれ？リモコンはどこにあるのかしら？
主人		00:01:15.945	75.945	75945	00:01:18.984	78.984	78984	00:00:03.039	3.039	3039	(F あ)ごめん。(P)それは元に戻してちょうだい。
主人		00:01:27.356	87.356	87356	00:01:27.739	87.739	87739	00:00:00.383	0.383	383	(R うん)
主人		00:01:29.644	89.644	89644	00:01:32.366	92.366	92366	00:00:02.722	2.722	2722	ごめん、ごめん。ティッシュも元に戻してほしいわ<H>。
主人		00:01:41.142	101.142	101142	00:01:41.773	101.773	101773	00:00:00.631	0.631	631	ありがとう。
ロボット		00:00:06.041	6.041	6041	00:00:07.008	7.008	7008	00:00:00.967	0.967	967	分かりました。
ロボット		00:00:14.754	14.754	14754	00:00:16.987	16.987	16987	00:00:02.233	2.233	2233	別のテーブルですね、分かりました。
ロボット		00:00:25.383	25.383	25383	00:00:27.933	27.933	27933	00:00:02.550	2.55	2550	(R はい)電気ケトルと花瓶には触れません。
ロボット		00:00:34.973	34.973	34973	00:00:35.739	35.739	35739	00:00:00.766	0.766	766	分かりました。
ロボット		00:00:40.012	40.012	40012	00:00:40.247	40.247	40247	00:00:00.235	0.235	235	(?)
ロボット		00:00:40.473	40.473	40473	00:00:43.713	43.713	43713	00:00:03.240	3.24	3240	箱の中にバナナ{||が}入っていますが、どうしますか？
ロボット		00:00:49.619	49.619	49619	00:00:51.939	51.939	51939	00:00:02.320	2.32	2320	分かりました。箱に入れて移動させま<H>す。
ロボット		00:01:13.015	73.015	73015	00:01:15.402	75.402	75402	00:00:02.387	2.387	2387	リモコンなら、今移動させましたよ。
ロボット		00:01:19.352	79.352	79352	00:01:20.108	80.108	80108	00:00:00.756	0.756	756	分かりました。
ロボット		00:01:26.048	86.048	86048	00:01:27.287	87.287	87287	00:00:01.239	1.239	1239	戻しておきますね。
ロボット		00:01:32.833	92.833	92833	00:01:33.704	93.704	93704	00:00:00.871	0.871	871	分かりました<H>。
ロボット		00:01:39.406	99.406	99406	00:01:40.913	100.913	100913	00:00:01.507	1.507	1507	こちらに戻しておきます。
